Keyword,Tweet,Sentiment
pfizer vaccine,Vaccine appointments are available atWalgreens/Duane Reade (Pfizer)109-62 Francis Lewis Boulevard Queens NY 11429(800) 925-4733https://t.co/rvzEm5kp9s,negative,
pfizer vaccine,Vaccine appointments are available atWalgreens/Duane Reade (Pfizer)93-12 Astoria Boulevard Queens NY 11369(800) 925-4733https://t.co/gof7d6NgAD,negative,
pfizer vaccine,Governor Ivey: Any Alabamian over 16 can get a COVID-19 vaccine starting April 5thThe Pfizer vaccine is available to people age 16 and up and the Moderna and Johnson & Johnson vaccines are both available to individuals 18 years of age and older.https://t.co/fQbeZDHSB4,positive,
pfizer vaccine,Vaccine appointments are available atWalgreens/Duane Reade (Pfizer)105 Brighton Beach Avenue Brooklyn NY 11235(800) 925-4733https://t.co/kgB6pxxOHm,negative,
pfizer vaccine,people who get the Moderna vaccine: spiritual harmonious Attunedpeople who get the Pfizer vaccine: intellectual mechanical productive https://t.co/SfLLTBx686,positive,
pfizer vaccine,Scott Morrison received the Pfizer vaccine https://t.co/qJecwbEN17,negative,
pfizer vaccine,@ShahrarAli The dosing schedules particularly of the Pfizer vaccine as it is being used in the U.K....ie at 12 week interval rather than 3 renders it ‘off label’ ......but you knew that which is why you only replied about the AZ vaccine.,negative,
pfizer vaccine,me and this twitch carrying our team on aram. this bill gates chip on my pfizer vaccine has been activated. pro gaymer mode has commenced. https://t.co/82zNzU5qOR,positive,
pfizer vaccine,Pfizer Biontech say trials suggest Covid vaccine works against South African variant is effective after 6 months - NBC News https://t.co/INAxmDS6l7,negative,
pfizer vaccine,This is worse then the flu vaccine. #Pfizer #vaccinated,negative,
pfizer vaccine,@Wallajay Nice! The Pfizer vaccine seems to have fewer side effects.,negative,
pfizer vaccine,Coronavirus Vaccine Side Effects by Age Manufacturer and Dose: Chart https://t.co/Lx5mPyyPYL,positive,
pfizer vaccine,@knuke24 @Iignrmeanreply It actually shows how uninformed you are. The Pfizer vaccine was developed and funded by Germany. Also Trump's team recently stated there was no vaccine  distribution plan with Trump. Give credit where credit is due. Oh and btw there was no widespread election fraud.,positive,
pfizer vaccine,This is some bullshit.        ‘Held to ransom’: Pfizer demands governments gamble with state assets to secure vaccine deal — The Bureau of Investigative Journalism https://t.co/xw2fOcExNU,negative,
pfizer vaccine,That second dose of the Pfizer vaccine got me feeling like a bougie bitch ?????,negative,
pfizer vaccine,my ego is now built on the fact my vaccine was pfizer,negative,
pfizer vaccine,People really thing Pfizer is the superior vaccine when Fauci got Moderna. Honestly embarrassing ?,positive,
pfizer vaccine,After you get a vaccine shot it takes your immune system a few weeks to build up protection against the virus. Since Moderna and Pfizer’s Covid vaccines require two doses you get further immunity two weeks after the second dose. Learn more. - @CNBC https://t.co/VseeXVZXdh,negative,
pfizer vaccine,@ScottMorrisonMP  question... has your whole family had the Pfizer jab and are you all listed in the 1a vaccine rollout if not you are a true scumbag mate,positive,
pfizer vaccine,@Porrohman1 @twentysixbux More studies coming out all the time showing you are much less likely to pass it on due to reduced viral load. https://t.co/aBlGA9Imhj,positive,
pfizer vaccine,Vaccine appointments are available atWalgreens/Duane Reade (Pfizer)2325 Flatbush Avenue Brooklyn NY 11234(800) 925-4733https://t.co/525H83H7NI,negative,
pfizer vaccine,Vaccine appointments are available atWalgreens/Duane Reade (Pfizer)1231 Madison Avenue Manhattan NY 10128(800) 925-4733https://t.co/u89tpNhRhy,negative,
pfizer vaccine,Vaccine appointments are available atWalgreens/Duane Reade (Pfizer)244 East 161st Street Bronx NY 10451(800) 925-4733https://t.co/xUnZua6A0k,negative,
pfizer vaccine,@NowItsBowie At the moment yes clinically vulnerable 16-64 year olds but that phase has been completed in most health boards. Pfizer vaccine suitable for over 16s AZ for over 18s so can’t see why over 16s won’t be done as they move down the priority groups.,positive,
pfizer vaccine,@Alabasterade @italymonaco @mel_giancarlo @DebCansdell There is absolutely no evidence for this statement. Pls check your facts https://t.co/1ivtlvj3Us,negative,
pfizer vaccine,@DFisman sounds ironically funny but I personally know someone over 75 with threatening medical condicions that due to miss information campaigns is afraid of his Pfizer first shot he s afraid of dying due to the vaccine at today 200/100000 active cases and VOC are rampant,negative,
pfizer vaccine,@twentysixbux @NotTimorous I have seen data recently that having a vaccine vastly reduces your odds of passing it on. You have a massive reduced viral load. https://t.co/aBlGA9Imhj,negative,
pfizer vaccine,@elegationvain Pfizer or Moderna?I legit looked up "Can I drink wine after vaccine" last night because I have some baked ziti that's begging for some vino.,positive,
