Country,Date,Number of Cases
Singapore,"Feb 15 2020",null
Singapore,"Feb 16 2020",3
Singapore,"Feb 17 2020",2
Singapore,"Feb 18 2020",4
Singapore,"Feb 19 2020",3
Singapore,"Feb 20 2020",1
Singapore,"Feb 21 2020",1
Singapore,"Feb 22 2020",3
Singapore,"Feb 23 2020",0
Singapore,"Feb 24 2020",1
Singapore,"Feb 25 2020",1
Singapore,"Feb 26 2020",2
Singapore,"Feb 27 2020",3
Singapore,"Feb 28 2020",2
Singapore,"Feb 29 2020",4
Singapore,"Mar 01 2020",4
Singapore,"Mar 02 2020",2
Singapore,"Mar 03 2020",2
Singapore,"Mar 04 2020",2
Singapore,"Mar 05 2020",5
Singapore,"Mar 06 2020",13
Singapore,"Mar 07 2020",8
Singapore,"Mar 08 2020",12
Singapore,"Mar 09 2020",10
Singapore,"Mar 10 2020",6
Singapore,"Mar 11 2020",12
Singapore,"Mar 12 2020",9
Singapore,"Mar 13 2020",13
Singapore,"Mar 14 2020",12
Singapore,"Mar 15 2020",14
Singapore,"Mar 16 2020",17
Singapore,"Mar 17 2020",23
Singapore,"Mar 18 2020",47
Singapore,"Mar 19 2020",32
Singapore,"Mar 20 2020",40
Singapore,"Mar 21 2020",47
Singapore,"Mar 22 2020",23
Singapore,"Mar 23 2020",54
Singapore,"Mar 24 2020",49
Singapore,"Mar 25 2020",73
Singapore,"Mar 26 2020",52
Singapore,"Mar 27 2020",49
Singapore,"Mar 28 2020",70
Singapore,"Mar 29 2020",42
Singapore,"Mar 30 2020",35
Singapore,"Mar 31 2020",47
Singapore,"Apr 01 2020",74
Singapore,"Apr 02 2020",49
Singapore,"Apr 03 2020",65
Singapore,"Apr 04 2020",75
Singapore,"Apr 05 2020",120
Singapore,"Apr 06 2020",66
Singapore,"Apr 07 2020",106
Singapore,"Apr 08 2020",142
Singapore,"Apr 09 2020",287
Singapore,"Apr 10 2020",198
Singapore,"Apr 11 2020",191
Singapore,"Apr 12 2020",233
Singapore,"Apr 13 2020",386
Singapore,"Apr 14 2020",334
Singapore,"Apr 15 2020",447
Singapore,"Apr 16 2020",728
Singapore,"Apr 17 2020",623
Singapore,"Apr 18 2020",942
Singapore,"Apr 19 2020",596
Singapore,"Apr 20 2020",1426
Singapore,"Apr 21 2020",1111
Singapore,"Apr 22 2020",1016
Singapore,"Apr 23 2020",1037
Singapore,"Apr 24 2020",897
Singapore,"Apr 25 2020",618
Singapore,"Apr 26 2020",931
Singapore,"Apr 27 2020",799
Singapore,"Apr 28 2020",528
Singapore,"Apr 29 2020",690
Singapore,"Apr 30 2020",528
Singapore,"May 01 2020",932
Singapore,"May 02 2020",447
Singapore,"May 03 2020",657
Singapore,"May 04 2020",573
Singapore,"May 05 2020",632
Singapore,"May 06 2020",788
Singapore,"May 07 2020",741
Singapore,"May 08 2020",768
Singapore,"May 09 2020",753
Singapore,"May 10 2020",876
Singapore,"May 11 2020",451
Singapore,"May 12 2020",884
