Keyword,Tweet,Sentiment
pfizer vaccine,@Fraslin Ils ont raison si on a le choix c'est mieux d'être vacciné avec Pfizer. Personnellement je me sens moins protégée avec AZ. Pour ma 2ème dose en mai si je peux avoir Pfizer au lieu D'AZ je choisis Pfizer sans hésiter (pour les variants).,positive,
pfizer vaccine,"the mRNA experimental vaccine from Pfizer killed “about 40 times more (elderly) people than the disease itself would have killed” during a recent five-week vaccination period. " https://t.co/nU0CU44gdN,positive,
pfizer vaccine,@KristianNorgre1 @KevinZbrady @OneScouse @spectator @delboy3476 You are so very wrong. All the pharmaceutical companies have condemned the EU for it vaccine nationalism. The EU has blocked vaccines made for many nations. The world will not forget how these people have behaved. https://t.co/jWsoxIXLST,negative,
pfizer vaccine,@PronouncedHare The lack of hard questions about our vaccine rollout has been amazing. The way thr Pfizer vaccine announcement was just uncritically accepted as great news despite any detail of timing was really bizzare,negative,
pfizer vaccine,Whoever took the Pfizer vaccine dm me plsss,negative,
pfizer vaccine,@defnoodles @LilNasX damn I got the pfizer vaccine and I work in a care home... denied vacation time just to stay home and relax from exhaustion and I still do my part by staying home masking up to flatten the curve... 🤦🏻‍♀️,positive,
pfizer vaccine,@JoeABCNews It will probably never get to a million a weekWhy we haven't looked at making the Pfizer vaccine under licence is beyond me.Ohh wait. LNP members have shares in CSL making AZ Vaccine.,negative,
pfizer vaccine,Vaccine appointments are available atCVS Pharmacy (Pfizer)4901 Kings Highway Brooklyn NY 11234https://t.co/cFhbg2t7lT,positive,
pfizer vaccine,Vaccine appointments are available atCVS Pharmacy (Pfizer)3125 Bainbridge Avenue Bronx NY 10467https://t.co/64hd3Af5XQ,positive,
pfizer vaccine,Vaccine appointments are available atCVS Pharmacy (Pfizer)2320 Ralph Avenue Brooklyn NY 11234https://t.co/zToUnfdc8D,positive,
pfizer vaccine,Vaccine appointments are available atCVS Pharmacy (Pfizer)10204 Flatlands Avenue Brooklyn NY 11236https://t.co/mUC7s09ZEF,positive,
pfizer vaccine,Vaccine appointments are available atCVS Pharmacy (Pfizer)206-09 Linden Boulevard Queens NY 11411https://t.co/D48B1byIb7,positive,
pfizer vaccine,Vaccine appointments are available atCVS Pharmacy (Pfizer)1571 Forest Avenue Staten Island NY 10302https://t.co/3tM0FfKDTr,positive,
pfizer vaccine,Vaccine appointments are available atCVS Pharmacy (Pfizer)130 Dyckman Street Manhattan NY 10040https://t.co/KLGTAUD6hj,positive,
pfizer vaccine,@BelindaJones68 I’ll happily accept whichever vaccine is available to me. If I could choose it would be Pfizer but if I am offered AZ I’ll present my arm just as freely.Being vaccinated is always better than being unvaccinated.,positive,
pfizer vaccine,@DrMaeker Je m y suis inscrite... on verra bien. Mon conjoint pompier a pu se faire vacciné samedi Pfizer a Avion. Le maire refusait de le faire entrer ( car pas pompier à avion mais rien de precise sur doctolib)... heureusement qu il connaissait l infirmière du smur,positive,
pfizer vaccine,Why has there been no discussion on people having allergic reaction to the Pfizer vaccine. A healthy close friend was severely ill day after the vaccine. Scientific opinions accepted. https://t.co/70nd5BD7yT,positive,
pfizer vaccine,All (vaccine) eggs in the CSL AZ basket & apparently no ability to plan ahead on supplies & delivery. What if CSL has problem with a batch? At one point Australia had 120+ million vaccine doses on order - what happened? Did we get 10mill Pfizer doses? Where is Novavax? And J&J? https://t.co/7W1mvp53db,positive,
pfizer vaccine,So the only vaccine I can get if I wanna travel is Pfizer because EU doesn't accept Russian or Chinese 🤦‍♂️,negative,
pfizer vaccine,@marta_lander @ROO3sixty @pfizer @NatGeo No. But I fail to see what it has to do with his claim that there's an increased death rate in Israel and that any Covid Vaccine is responsible for it.,negative,
pfizer vaccine,@YouAreLobbyLud Clotting is not the only issue with AZ.  It is a sub standard vaccine. Morisson needs to cease the rollout and call Biden and get Pfizer/Moderna for everyone........when he gets back to work.,positive,
pfizer vaccine,@Gleegirloz @BelindaJones68 Vaccination isn’t compulsoryYou do get a choiceYou can refuse the AstraZeneca vaccine and pressure the government to get something more effective and less likely to kill youWhat is @ScottMorrisonMP doing to obtain more Pfizer?#MorePfizerAu,positive,
pfizer vaccine,@IrrigationJims So in simple terms you might understand using my made up figures Pfizer vaccine in Australian arms 83997 with 3 AZ in arms and 1 blood clot Cheers Scott Morrison,positive,
pfizer vaccine,@ARI_CHAK @bsindia The only indigenously developed vaccine is Covaxin and we all know that's used far less than Covishield.Serum could have easily done a deal with Pfizer or Moderna too but more than the price it's the cold chain that would have made those jabs unusable across most of India.,negative,
pfizer vaccine,@AlboMP We also want the Pfizer vaccine.  Good enough for Morrison good enough for us.  Only 3 weeks apart from 1st 2nd dose.  Need vaccination as soon as possible to avoid mutants evolving.,positive,
pfizer vaccine,@ewnupdates Government need to realise that JnJ is not the only vaccine available. Where is Pfizer stock? We’ll die waiting for Aspen and JnJ to save us while Saad and politicians play political propaganda games. Get other options NOW!,negative,
pfizer vaccine,New availability: CenturaColorado State Fairgrounds (Pfizer Vaccine): 1001 Beulah Ave Pueblo CO 81004Access here: https://t.co/Fs1JHpmy5XApr 05 01:06 AM,positive,
pfizer vaccine,New availability: CenturaBroadmoor World Arena (Pfizer Vaccine): 3185 Venetucci Boulevard Colorado Springs CO 80906Access here: https://t.co/Fs1JHpmy5XApr 05 01:06 AM,positive,
pfizer vaccine,How little character must the PM possess to line up with the elderly and frontline workers before every one else for the Pfizer vaccine?How do you not die inside doing that?#Auspol #ScottySucks,negative,
pfizer vaccine,@itunes65 @kimmieM1973 That's what Pfizer/Moderna want you to think. Their vaccine makes them a profit of ca. $40 a patient unlike AZ whose profit is $0 a patient. Follow the money sheeple,positive,
pfizer vaccine,If you have a death wish get this shot. If you want to keep living run from this shot and do not get it. Avoid it at all costs. https://t.co/EL9yf9abBB,positive,
