Keyword,Tweet,Sentiment
pfizer vaccine,@DrakeGatsby Dear SantaI hope this email finds you well. I was excited to read that you've been vaccinated. Congrats! Moderna or Pfizer? I trust that there was no issue with keeping the vaccine cold enough at the North Pole! Looking forward to seeing you in person.BestJD,negative
pfizer vaccine,What's the counterfactual here? If Operation warp speed isnt set up Pfizer/BioNTech just dont bother making the vaccine? Everyone gives up the mRNA concept? Are people actually this mind melted ?,positive
pfizer vaccine,Also Me s/p Pfizer COVID-19 vaccine 2 of 2 ???? https://t.co/7GM0zm9nlr,positive
pfizer vaccine,@Irina_Vukolova? ... Right after being vaccinated with Astrazeneca. While the Pfizer vaccine it would cause thyroid problems My love. Either way they are not small side effects. But let's go back to us now. Which is better. ?????????????????????,negative
pfizer vaccine,Just got a call from my mother saying that she got the first dose of the Pfizer/BioNtech vaccine ?,positive
pfizer vaccine,For those asking where to get their 16-18 yr old the Pfizer Vax in NJ (16+ are eligible April 19th):  Go to this link: https://t.co/Powi9RPBVnYou'll see a column which specifies 16yrs or 18 yrs.  Pfizer is the only vax w/ EUA for 16yrs olds. Always call ahead to confirm though. https://t.co/DFFvh1zAyu,negative
pfizer vaccine,@falko15543940 @LilCryptoGod @filbfilb Out of the placebo group 162 out of 21k or so got COVID during the Pfizer trial. I think it was 8 that got COVID out of the other 21k in the vaccine group. No details on comorbities. A big sticking point is that there is virtually no liability if you have a terrible reaction.,negative
pfizer vaccine,@POTUS I received my 1st Pfizer vaccine last Thursday and am so anxious for all of my family to be vaccinated. I lost my uncle to Covid on Christmas Eve and he so wanted the vaccine to come quickly. So thankful this is happening so much more quickly now.,positive
pfizer vaccine,Getting the Pfizer vaccine on Friday. Can't wait! #COVID19Vaccine,negative
pfizer vaccine,@csd I drove 3 hours each way to get a vaccine a month before locally available. Made the trip twice for Pfizer. No regrets.,positive
pfizer vaccine,Shot #1 done!This made me so happy today and hopeful that we can soon get back on stage hang out in person train and workout together and hug my friends who I have not seen in so long :) ?? #pfizer #vaccine https://t.co/qeqgeA0YvK,negative
pfizer vaccine,So the moderna and Pfizer vaccine only last for at least six months hmm interesting turn of events,positive
pfizer vaccine,@deepbarot I’m hoping to take Johnson and Johnson or Pfizer when I get my vaccine,negative
pfizer vaccine,Why Pfizer and BioNTech's COVID Vaccine Could Be Even Better Than Expected https://t.co/2XuH9usWG2,negative
pfizer vaccine,@CNN Why can’t people see the private/public partnerships pushing bioengineering vaxtech and digital surveillance infrastructure are driven by profit. Pfizer’s vax on track to be “one of the most lucrative drugs in the world”https://t.co/C3bz0e7Qcy,positive
pfizer vaccine,I'm getting my second dose of the Pfizer vaccine today! ?,negative
